KOD;BİLEŞEN ADI;AÇIKLAMA
PE01;Ön Yıkama Pompa Motoru;Ön yıkama proses tankından emiş hattı üzerinden yıkama suyunun sepet ve sprey manifoldlarına sirkülasyonunu sağlar. Emiş vanası, pompa koruma rölesi ve VFD çıkış devresine bağlıdır.
PE02;Yıkama Pompa Motoru;Ana yıkama devresinde proses suyunun basınçlı transferini sağlar. Proses tankı, emiş vanası, basma manifoldu ve motor kontrol devresine bağlıdır.
PE03;Ön Durulama Pompa Motoru;Ön durulama aşamasında proses suyunun sirkülasyonunu sağlar. Durulama tankı emiş hattı, vanalar ve motor koruma devresine bağlıdır.
PE04;Durulama Pompa Motoru;Durulama devresinde proses suyunun sepet ve sprey hatlarına transferini sağlar. Basma/emiş vanaları ve motor kontrol devresine bağlıdır.
PE05;Otomatik Drenaj Pompası Motoru;Otomatik drenaj fazında proses sıvısının tank veya hücreden tahliyesini sağlar. Drenaj vanası, seviye sensörü ve motor koruma devresine bağlıdır.
PE06;Vakum Pompası Motoru;Hücre içi vakum oluşturmak için proses sıvısını emer. Vakum tankı, emiş vanası, basınç sensörü ve motor kontrol devresine bağlıdır.
PE07;Hücre Boşaltma Pompası Motoru;Hücre boşaltma fazında sıvının tahliye hattına transferini sağlar. Boşaltma vanası, hücre drenaj hattı ve motor koruma devresine bağlıdır.
PE08;Arıtma Gidiş Pompası Motoru;Arıtma devresinde proses suyunun filtre/arıtma ünitesine beslemesini sağlar. Arıtma gidiş hattı, vanalar ve motor kontrol devresine bağlıdır.
PE09;Arıtma Dönüş Pompası Motoru;Arıtma sonrası proses suyunun ana devreye geri dönüşünü sağlar. Dönüş hattı, vanalar ve motor kontrol devresine bağlıdır.
PE10;1.  Dozaj Pompası;Kimyasal dozaj devresinde belirlenen debide sıvı enjeksiyonu sağlar. Dozaj tankı, seviye sensörü, dozaj vanası ve motor kontrol devresine bağlıdır.
PE11;2.  Dozaj Pompası;Kimyasal dozaj devresinde belirlenen debide sıvı enjeksiyonu sağlar. Dozaj tankı, seviye sensörü, dozaj vanası ve motor kontrol devresine bağlıdır.
