KOD;AUSLÖSESENSOR;GESPERRTE ANLAGE;SICHERHEITSLOGIK
LS01;1. Prozesstank Mindeststandsensor;Prozesspumpen (PE), Heizungen (R01-R05);"Verhindert Trockenlauf: Fällt der Flüssigkeitsstand in Prozesstank 1 unter den Mindestschwellenwert, verriegelt die SPS die zugehörigen Prozesspumpen und Heizungen gegen Trockenlauf und thermische Schäden."
LS04;2. Prozesstank Mindeststandsensor;Prozesspumpen (PE), Heizungen (R06-R10);"Verhindert Trockenlauf: Fällt der Flüssigkeitsstand in Prozesstank 2 unter den Mindestschwellenwert, verriegelt die SPS die zugehörigen Prozesspumpen und Heizungen gegen Trockenlauf und thermische Schäden."
LS07;3. Prozesstank Mindeststandsensor;Prozesspumpen (PE), Heizungen (R11-R15);"Verhindert Trockenlauf: Fällt der Flüssigkeitsstand in Prozesstank 3 unter den Mindestschwellenwert, verriegelt die SPS die zugehörigen Prozesspumpen und Heizungen gegen Trockenlauf und thermische Schäden."
LS10;4. Prozesstank Mindeststandsensor;Prozesspumpen (PE), Heizungen (R16-R20);"Verhindert Trockenlauf: Fällt der Flüssigkeitsstand in Prozesstank 4 unter den Mindestschwellenwert, verriegelt die SPS die zugehörigen Prozesspumpen und Heizungen gegen Trockenlauf und thermische Schäden."
SS01;Handschutzsensor;Zellendeckel-Schließmechanismus;"Bedienerschutz: Wird beim Schließen des Deckels eine Hand oder ein Fremdkörper erkannt, wird die Schließbewegung gestoppt. Die SPS gibt kein Enable an den Deckelstellantrieb — Quetschgefahr wird verhindert."
SS02;Verriegelungsschloss;Zellendeckel;"Betriebssicherheit: Verriegelt den Deckel während des aktiven Wasch-/Prozesszyklus physisch. Verhindert plötzliches Öffnen durch den Bediener während des Betriebs."
SS03;Lichtschranken-Sicherheitssensor;Zellendeckel-Schließmechanismus;"Nicht überbrückbarer Schutz: Wird beim Schließen die Lichtschranke unterbrochen, stoppt das Schließen. Verhindert Quetschrisiko bei Hand, Teil oder Hindernis; geeignet für SIL/hohe Integrität."
SS05;1. DECKEL-RFID-SENSOR;Maschinenzyklus (GE, PE, FE);"Deckel-offen-Sicherheit: Wird der Deckel während des Betriebs geöffnet, schlägt die RFID-Validierung fehl und die SPS führt einen Not-Halt aus. Verhindert mögliche Verletzungen."
SS06;2. DECKEL-RFID-SENSOR;Maschinenzyklus (GE, PE, FE);"Deckel-offen-Sicherheit: Wird der Deckel während des Betriebs geöffnet, schlägt die RFID-Validierung fehl und die SPS führt einen Not-Halt aus. Verhindert mögliche Verletzungen."
SS07;3. DECKEL-RFID-SENSOR;Maschinenzyklus (GE, PE, FE);"Deckel-offen-Sicherheit: Wird der Deckel während des Betriebs geöffnet, schlägt die RFID-Validierung fehl und die SPS führt einen Not-Halt aus. Verhindert mögliche Verletzungen."
SS08;4. DECKEL-RFID-SENSOR;Maschinenzyklus (GE, PE, FE);"Deckel-offen-Sicherheit: Wird der Deckel während des Betriebs geöffnet, schlägt die RFID-Validierung fehl und die SPS führt einen Not-Halt aus. Verhindert mögliche Verletzungen."
SS09;5. DECKEL-RFID-SENSOR;Maschinenzyklus (GE, PE, FE);"Deckel-offen-Sicherheit: Wird der Deckel während des Betriebs geöffnet, schlägt die RFID-Validierung fehl und die SPS führt einen Not-Halt aus. Verhindert mögliche Verletzungen."
SS10;6. DECKEL-RFID-SENSOR;Maschinenzyklus (GE, PE, FE);"Deckel-offen-Sicherheit: Wird der Deckel während des Betriebs geöffnet, schlägt die RFID-Validierung fehl und die SPS führt einen Not-Halt aus. Verhindert mögliche Verletzungen."
SS11;7. DECKEL-RFID-SENSOR;Maschinenzyklus (GE, PE, FE);"Deckel-offen-Sicherheit: Wird der Deckel während des Betriebs geöffnet, schlägt die RFID-Validierung fehl und die SPS führt einen Not-Halt aus. Verhindert mögliche Verletzungen."
SW01;Zellendeckel Offenstellungsschalter;Maschinenzyklus, Prozesspumpen;"Zugangssicherheit: Während der Deckel offen ist, wird der Maschinenbetrieb gesperrt. Die SPS gibt kein Start-Enable für Antriebe und Prozessausrüstung."
SW02;Zellendeckel Geschlossenstellungsschalter;Maschinenzyklus, Prozesspumpen;"Deckelverifikation: Maschinenzyklus und Prozessausrüstung werden erst freigegeben, wenn der Deckel vollständig geschlossen bestätigt ist. Ergänzt SW01 in der Deckel-Sicherheitskette."
SW18;Zellendeckel-Kontrollschalter;Maschinenzyklus (GE01), Prozesspumpen (PE);"Personalsicherheit: Der Maschinenbetrieb ist gesperrt, bis der Zellendeckel als sicher geschlossen bestätigt wurde. Pumpen und Antriebe starten nicht bei geöffnetem Deckel."
PS07;Eingangs-Luftdrucksensor (4-20 mA);Pneumatikventile und Stellantriebe (V, SWB);"Luftdruckschutz: Fällt der Eingangs-Luftdruck unter den eingestellten Schwellenwert, werden pneumatische Komponenten nicht freigegeben. Verhindert Fehlventilierung und Unfälle durch niedrigen Luftdruck."
TC01;1. Prozesstank-Temperaturfühler;Heizungen (R01-R05), Prozesspumpen;"Temperaturschutz: Erreicht die gemessene Temperatur die in HMI/SPS eingestellte Obergrenze, wird die Heizung abgeschaltet. Verhindert Überhitzung und thermisches Risiko."
TC02;2. Prozesstank-Temperaturfühler;Heizungen (R06-R10), Prozesspumpen;"Temperaturschutz: Erreicht die gemessene Temperatur die in HMI/SPS eingestellte Obergrenze, wird die Heizung abgeschaltet. Verhindert Überhitzung und thermisches Risiko."
TC03;3. Prozesstank-Temperaturfühler;Heizungen (R11-R15), Prozesspumpen;"Temperaturschutz: Erreicht die gemessene Temperatur die in HMI/SPS eingestellte Obergrenze, wird die Heizung abgeschaltet. Verhindert Überhitzung und thermisches Risiko."
