KOD;TRIGGER SENSOR;LOCKED EQUIPMENT;SAFETY LOGIC
LS01;1. Process Tank Low Level Sensor;Process Pumps (PE), Heaters (R01-R05);"Prevents dry running: When liquid level in process tank 1 drops below the minimum threshold, the PLC interlocks related process pumps and heaters to prevent dry operation and thermal damage."
LS04;2. Process Tank Low Level Sensor;Process Pumps (PE), Heaters (R06-R10);"Prevents dry running: When liquid level in process tank 2 drops below the minimum threshold, the PLC interlocks related process pumps and heaters to prevent dry operation and thermal damage."
LS07;3. Process Tank Low Level Sensor;Process Pumps (PE), Heaters (R11-R15);"Prevents dry running: When liquid level in process tank 3 drops below the minimum threshold, the PLC interlocks related process pumps and heaters to prevent dry operation and thermal damage."
LS10;4. Process Tank Low Level Sensor;Process Pumps (PE), Heaters (R16-R20);"Prevents dry running: When liquid level in process tank 4 drops below the minimum threshold, the PLC interlocks related process pumps and heaters to prevent dry operation and thermal damage."
SS01;Hand Protection Sensor;Cell Lid Closing Mechanism;"Operator protection: When a hand or foreign object is detected during lid closing, the closing motion is stopped. The PLC disables the lid actuator to prevent crushing injuries."
SS02;Interlock Lock;Cell Lid;"Operational safety: Physically locks the lid during active wash/process cycle. Prevents the operator from suddenly opening the lid while the machine is running."
SS03;Light Barrier Safety Sensor;Cell Lid Closing Mechanism;"Non-bypassable protection: When the light beam is interrupted during lid closing, closing stops. Prevents crushing risk if a hand, part or obstacle is present; suitable for SIL/high-integrity scenarios."
SS05;1. LID RFID SENSOR;Machine Cycle (GE, PE, FE);"Lid open safety: If the lid is opened while the machine is running, RFID validation fails and the PLC performs an emergency stop. Prevents potential injuries."
SS06;2. LID RFID SENSOR;Machine Cycle (GE, PE, FE);"Lid open safety: If the lid is opened while the machine is running, RFID validation fails and the PLC performs an emergency stop. Prevents potential injuries."
SS07;3. LID RFID SENSOR;Machine Cycle (GE, PE, FE);"Lid open safety: If the lid is opened while the machine is running, RFID validation fails and the PLC performs an emergency stop. Prevents potential injuries."
SS08;4. LID RFID SENSOR;Machine Cycle (GE, PE, FE);"Lid open safety: If the lid is opened while the machine is running, RFID validation fails and the PLC performs an emergency stop. Prevents potential injuries."
SS09;5. LID RFID SENSOR;Machine Cycle (GE, PE, FE);"Lid open safety: If the lid is opened while the machine is running, RFID validation fails and the PLC performs an emergency stop. Prevents potential injuries."
SS10;6. LID RFID SENSOR;Machine Cycle (GE, PE, FE);"Lid open safety: If the lid is opened while the machine is running, RFID validation fails and the PLC performs an emergency stop. Prevents potential injuries."
SS11;7. LID RFID SENSOR;Machine Cycle (GE, PE, FE);"Lid open safety: If the lid is opened while the machine is running, RFID validation fails and the PLC performs an emergency stop. Prevents potential injuries."
SW01;Cell Lid Open Position Switch;Machine Cycle, Process Pumps;"Access safety: Machine operation is inhibited while the cell lid is in the open position. The PLC does not enable drives and process equipment."
SW02;Cell Lid Closed Position Switch;Machine Cycle, Process Pumps;"Lid verification: Machine cycle and process equipment are not enabled until the lid is confirmed fully closed. Completes the lid safety chain together with SW01."
SW18;Cell Lid Control Switch;Machine Cycle (GE01), Process Pumps (PE);"Personnel safety: Machine operation is inhibited unless the cell lid is verified securely closed. Pumps and drives cannot start with the lid open."
PS07;Inlet Air Pressure Sensor (4-20 mA);Pneumatic Valves and Actuators (V, SWB);"Air pressure protection: When inlet air pressure drops below the configured threshold, pneumatic components are not enabled. Prevents faulty valve operation and accidents due to low air pressure."
TC01;1. Process Tank Temperature Transmitter;Heaters (R01-R05), Process Pumps;"Temperature protection: When measured temperature reaches the upper limit set in HMI/PLC, heating is stopped. Prevents overheating and thermal risk."
TC02;2. Process Tank Temperature Transmitter;Heaters (R06-R10), Process Pumps;"Temperature protection: When measured temperature reaches the upper limit set in HMI/PLC, heating is stopped. Prevents overheating and thermal risk."
TC03;3. Process Tank Temperature Transmitter;Heaters (R11-R15), Process Pumps;"Temperature protection: When measured temperature reaches the upper limit set in HMI/PLC, heating is stopped. Prevents overheating and thermal risk."
TC04;4. Process Tank Temperature Transmitter;Heaters (R16-R20), Process Pumps;"Temperature protection: When measured temperature reaches the upper limit set in HMI/PLC, heating is stopped. Prevents overheating and thermal risk."
TC05;1. Drying Temperature Transmitter;Drying Heaters (R21-R26), Drying Fans (FE);"Temperature protection: When drying line temperature reaches the limit, heating is stopped. Prevents overheating risk."
TC06;2. Drying Temperature Transmitter;Drying Heaters (R21-R26), Drying Fans (FE);"Temperature protection: When drying line temperature reaches the limit, heating is stopped. Prevents overheating risk."
TC07;In-Cell Temperature Transmitter;Process Equipment, Heating Circuit;"Temperature monitoring: In-cell ambient temperature is monitored; on limit exceedance the PLC stops heating and related process steps."
TC08;xxx Temperature Transmitter;Heating Circuit, Process Equipment;"Temperature protection: When measured temperature reaches the configured limit, heating is stopped. Prevents overheating risk."
TC09;xxx Temperature Transmitter;Heating Circuit, Process Equipment;"Temperature protection: When measured temperature reaches the configured limit, heating is stopped. Prevents overheating risk."
TC10;xxx Temperature Transmitter;Heating Circuit, Process Equipment;"Temperature protection: When measured temperature reaches the configured limit, heating is stopped. Prevents overheating risk."
PS08;1. Pressure Switch;Pneumatic Valves and Actuators (V, SWB);"High-integrity air control: Series-connected pressure switch on inlet air line; if air pressure is insufficient, pneumatic circuits are not enabled. Provides dual-channel air safety together with PS07."
PS09;2. Pressure Switch;Pneumatic Valves and Actuators (V, SWB);"High-integrity air control: Series-connected pressure switch on inlet air line; if air pressure is insufficient, pneumatic circuits are not enabled. Provides dual-channel air safety together with PS08."
